sitename,latitude,longitude,date,Age range,Age,url
Bodo,10.62,40.53,~600 ka,+500-,~600 kya,https://pbs.twimg.com/media/DFXnWnFUMAEK7vv?format=jpg&name=small
Dolni Vestonice,48.89,16.64,26 ka,-450,,
Gough's cave,51.281389,-2.764167,14.7 ka,less than 50,,
Goyet,50.44669,5.00888,45-40 ka,less than 50,,
Gran Dolina,42.366667,-3.522222,949-772 ka,+500-,949-772 kya,https://pbs.twimg.com/media/DUXzbcNWAAA181o?format=jpg&name=4096x4096
Jebel Sahaba,21.78,31.37,11.6-14.5 ka,less than 50,~12 kya,https://www.archaeology.org/images/News/1407/Egypt-conflict-cemetery.jpg
Krapina,46.16,15.87,130 ka,-450,,
Les Rois,45.56,0.12,30-28 ka,less than 50,,
Maba,24.67,113.58,250-100 ka,-450,,
Moula-Guercy ,44.666667,4.416667,120-100 ka,-450,,
Nataruk,2.70661,36.14191,10 ka,less than 50,10 kya,https://s2.reutersmedia.net/resources/r/?m=02&d=20160120&t=2&i=1111140223&w=640&fh=&fw=&ll=&pl=&sq=&r=LYNXNPEC0J1LF
Predmosti ,49.47,17.45,27-25 ka,less than 50,,
San Teodoro,38.05,14.59,Upper paleo,less than 50,,
Shanidar,36.8,44.24,~50 ka,-450,,
Sima de los Huesos,42.37,-3.52,430 ka,-450,,
St. Cesarie,45.75,-0.51,36 ka,less than 50,,
Sterkfontein ,-26.0157,27.7346,2.6-2 mya,+500-,1.5 mya,https://d3i71xaburhd42.cloudfront.net/77fc0f8ee515f176221a967df41f65ed8e625ea4/3-Figure1-1.png
Sunghir,56.176111,40.5025,34.6 -33.6 ka,less than 50,,
Xujiayao,40.100556,113.9775,370-260 ka,-450,,
